"트렌드","검색량","시작일","종료","트렌드 분석","탐색 링크"
"박왕열","1만+","2026년 3월 25일 AM 7시 10분 0초 UTC+9",,"박왕열,황하나","./explore?q=%EB%B0%95%EC%99%95%EC%97%B4&geo=KR"
"안전공업","5만+","2026년 3월 20일 PM 3시 0분 0초 UTC+9",,"안전공업,대전 화재,대전 공장 화재,대전,대전 안전공업,대전 불,문평동 공업 화재,화재,문평동 화재,문평동,대전 문평동,허민,대전 문평동 화재,대덕구 화재,대전 화재 회사,대전 대덕구 문평동,안전공업 화재,나트륨 폭발,뉴스속보,불","./explore?q=%EC%95%88%EC%A0%84%EA%B3%B5%EC%97%85&geo=KR"
"차량 5 부제","1만+","2026년 3월 24일 PM 5시 30분 0초 UTC+9",,"차량 5 부제,차량5부제,5부제,차량 5부제,5부제 시행,자동차 5부제,제주도","./explore?q=%EC%B0%A8%EB%9F%89%205%20%EB%B6%80%EC%A0%9C&geo=KR"
"2026 3월 모의고사","2만+","2026년 3월 24일 AM 7시 40분 0초 UTC+9",,"2026 3월 모의고사,3모,3월 모의고사,고3 3모,모의고사,등급컷,2027 3월 모의고사,모의고사 등급컷,이투스,3월 모의고사 등급컷,2026 3월 모의고사 등급컷,2026 3월 모의고사 고1,2026 3 월 모의고사 등급컷,모고 등급컷,2026 고1 3월 모의고사 등급컷,고1 3월 모의고사 등급컷,3월 모의고사 2026,2026 고1 3월 모의고사,고1 3월 모의고사,2026년 3월 모의고사,모의고사 등급컷 고1,2026 고2 3월 모의고사 등급컷,2026 고3 3월 모의고사 등급컷,2026 고2 3월 모의고사,국어 등급컷","./explore?q=2026%203%EC%9B%94%20%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC&geo=KR"
"종량제 봉투 대란","1만+","2026년 3월 24일 PM 2시 0분 0초 UTC+9",,"종량제 봉투 대란,나프타,쓰레기 봉투 대란,종량제봉투,쓰레기봉투,쓰레기봉투 대란,쓰레기봉투 사재기,종량제 봉투,종량제닷컴","./explore?q=%EC%A2%85%EB%9F%89%EC%A0%9C%20%EB%B4%89%ED%88%AC%20%EB%8C%80%EB%9E%80&geo=KR"
"송성문","1천+","2026년 3월 26일 AM 6시 50분 0초 UTC+9",,"송성문,이정후,샌프란시스코 자이언츠","./explore?q=%EC%86%A1%EC%84%B1%EB%AC%B8&geo=KR"
"구글 터보퀀트","500+","2026년 3월 26일 AM 8시 50분 0초 UTC+9",,"구글 터보퀀트,구글 주가","./explore?q=%EA%B5%AC%EA%B8%80%20%ED%84%B0%EB%B3%B4%ED%80%80%ED%8A%B8&geo=KR"
"메쥬","500+","2026년 3월 26일 AM 8시 50분 0초 UTC+9",,"메쥬","./explore?q=%EB%A9%94%EC%A5%AC&geo=KR"
"민생지원금","2천+","2026년 3월 23일 PM 10시 50분 0초 UTC+9",,"민생지원금,k패스,경향신문","./explore?q=%EB%AF%BC%EC%83%9D%EC%A7%80%EC%9B%90%EA%B8%88&geo=KR"
"홍서범","1천+","2026년 3월 25일 PM 10시 30분 0초 UTC+9",,"홍서범,홍서범 아들,홍석준","./explore?q=%ED%99%8D%EC%84%9C%EB%B2%94&geo=KR"
"모두의 창업","200+","2026년 3월 26일 AM 8시 0분 0초 UTC+9",,"모두의 창업,모두의창업","./explore?q=%EB%AA%A8%EB%91%90%EC%9D%98%20%EC%B0%BD%EC%97%85&geo=KR"
"김효진","2천+","2026년 3월 25일 PM 11시 50분 0초 UTC+9",,"김효진,유지태,장항준","./explore?q=%EA%B9%80%ED%9A%A8%EC%A7%84&geo=KR"
"kf-21","2천+","2026년 3월 25일 PM 3시 0분 0초 UTC+9",,"kf-21,kf21","./explore?q=kf-21&geo=KR"
"토트넘 대 노팅엄 포레스트","10만+","2026년 3월 22일 PM 10시 20분 0초 UTC+9","2026년 3월 25일 AM 8시 10분 0초 UTC+9","토트넘 대 노팅엄 포레스트,토트넘,프리미어리그,토트넘 대 노팅엄 포레스트 순위,프리미어리그 순위,토트넘 노팅엄,웨스트햄,토트넘 강등,토트넘 순위,투도르,토트넘 경기,노팅엄","./explore?q=%ED%86%A0%ED%8A%B8%EB%84%98%20%EB%8C%80%20%EB%85%B8%ED%8C%85%EC%97%84%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8&geo=KR"
"turboquant","200+","2026년 3월 26일 AM 7시 10분 0초 UTC+9",,"turboquant","./explore?q=turboquant&geo=KR"
"권경애","200+","2026년 3월 26일 AM 10시 0분 0초 UTC+9",,"권경애","./explore?q=%EA%B6%8C%EA%B2%BD%EC%95%A0&geo=KR"
"산이","500+","2026년 3월 26일 AM 1시 20분 0초 UTC+9",,"산이","./explore?q=%EC%82%B0%EC%9D%B4&geo=KR"
"국민체육진흥공단","200+","2026년 3월 26일 AM 9시 20분 0초 UTC+9",,"국민체육진흥공단","./explore?q=%EA%B5%AD%EB%AF%BC%EC%B2%B4%EC%9C%A1%EC%A7%84%ED%9D%A5%EA%B3%B5%EB%8B%A8&geo=KR"
"오스틴 대 엘에이 fc","10만+","2026년 3월 22일 AM 8시 50분 0초 UTC+9","2026년 3월 23일 PM 1시 40분 0초 UTC+9","오스틴 대 엘에이 fc","./explore?q=%EC%98%A4%EC%8A%A4%ED%8B%B4%20%EB%8C%80%20%EC%97%98%EC%97%90%EC%9D%B4%20fc&geo=KR"
"bts","5만+","2026년 3월 19일 PM 7시 30분 0초 UTC+9","2026년 3월 23일 AM 10시 30분 0초 UTC+9","bts,dynamite bts,bts arirang,lili reinhart,bts concert 2026,bts live,bts concert,bts members,swim bts,arirang,bts swim,melon,weverse,bts netflix","./explore?q=bts&geo=KR"
"아스널 대 맨 시티","5만+","2026년 3월 23일 AM 12시 30분 0초 UTC+9","2026년 3월 24일 AM 9시 10분 0초 UTC+9","아스널 대 맨 시티,리그컵,카라바오컵,아스날 맨시티,후사노프,맨시티,아스날,맨시티 아스날,케파,오라일리,케파 아리사발라가,니코 오라일리,아스널,카라바오","./explore?q=%EC%95%84%EC%8A%A4%EB%84%90%20%EB%8C%80%20%EB%A7%A8%20%EC%8B%9C%ED%8B%B0&geo=KR"
"mlb","500+","2026년 3월 26일 AM 8시 40분 0초 UTC+9","2026년 3월 26일 AM 10시 50분 0초 UTC+9","mlb","./explore?q=mlb&geo=KR"
"30기 영철","200+","2026년 3월 26일 AM 4시 20분 0초 UTC+9",,"30기 영철","./explore?q=30%EA%B8%B0%20%EC%98%81%EC%B2%A0&geo=KR"
"방탄소년단","10만+","2026년 3월 20일 AM 7시 20분 0초 UTC+9","2026년 3월 24일 AM 7시 0분 0초 UTC+9","방탄소년단,방탄,광화문,bts 공연,방탄 광화문 공연,bts 광화문,bts 광화문 공연 시간,뷔,광화문 bts,아리랑,방탄 광화문,광화문 bts 공연,bts 공연 시간,멜론차트,넷플릭스 bts,비티에스,bts 아리랑,제이홉,비티에스 광화문 콘서트,bts 라이브,bts 광화문 공연 중계,방탄소년단 광화문 공연,bts공연,bts 광화문 공연 티켓 가격,하이브,아미,아리랑 bts,bts 멤버,릴리 라인하트,bts 광화문 공연 가격,bts 컴백,bts 콘서트,bts 공연시간,넷플,방탄 광화문 공연 시간,방탄 공연,bts 넷플릭스,넷플릭스 라이브,광화문광장,bts 중계,광화문 실시간,bts 생중계,방탄 공연 시간,비티에스 공연,세종문화회관,bts 광화문 공연 라이브,bts 컴백 라이브,방탄소년단 광화문,방탄 라이브,방탄 아리랑,bts 공연 중계,네이버지도,bts 광화문 공연 무료,bts 실시간,bts 신곡,bts라이브,경복궁,bts 광화문 공연 예매,넷플릭스 실시간 tv,bts 공연 일정,bts공연시간,bts 광화문 공연 티켓,bts 리더,광화문 인파,bts 넷플릭스 생중계,방탄 콘서트","./explore?q=%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8&geo=KR"
"이혁재","200+","2026년 3월 25일 PM 10시 10분 0초 UTC+9",,"이혁재","./explore?q=%EC%9D%B4%ED%98%81%EC%9E%AC&geo=KR"
"레알 마드리드 대 아틀레티코","2만+","2026년 3월 23일 AM 4시 10분 0초 UTC+9","2026년 3월 24일 AM 7시 20분 0초 UTC+9","레알 마드리드 대 아틀레티코,레알마드리드,레알,레알 마드리드","./explore?q=%EB%A0%88%EC%95%8C%20%EB%A7%88%EB%93%9C%EB%A6%AC%EB%93%9C%20%EB%8C%80%20%EC%95%84%ED%8B%80%EB%A0%88%ED%8B%B0%EC%BD%94&geo=KR"
"본머스 대 맨유","5만+","2026년 3월 21일 AM 4시 10분 0초 UTC+9","2026년 3월 23일 AM 8시 50분 0초 UTC+9","본머스 대 맨유,맨유,본머스","./explore?q=%EB%B3%B8%EB%A8%B8%EC%8A%A4%20%EB%8C%80%20%EB%A7%A8%EC%9C%A0&geo=KR"
"쿠키런 오븐스매시","200+","2026년 3월 26일 AM 12시 50분 0초 UTC+9",,"쿠키런 오븐스매시,쿠키런","./explore?q=%EC%BF%A0%ED%82%A4%EB%9F%B0%20%EC%98%A4%EB%B8%90%EC%8A%A4%EB%A7%A4%EC%8B%9C&geo=KR"
"강소라","5천+","2026년 3월 23일 PM 10시 30분 0초 UTC+9","2026년 3월 26일 AM 9시 40분 0초 UTC+9","강소라,강소라 남편","./explore?q=%EA%B0%95%EC%86%8C%EB%9D%BC&geo=KR"
"브라이턴 대 리버풀","2만+","2026년 3월 21일 PM 8시 40분 0초 UTC+9","2026년 3월 23일 AM 8시 30분 0초 UTC+9","브라이턴 대 리버풀","./explore?q=%EB%B8%8C%EB%9D%BC%EC%9D%B4%ED%84%B4%20%EB%8C%80%20%EB%A6%AC%EB%B2%84%ED%92%80&geo=KR"
"로또1216회","2만+","2026년 3월 21일 PM 10시 50분 0초 UTC+9","2026년 3월 26일 AM 8시 10분 0초 UTC+9","로또1216회,로또1216회당첨번호,로또1216,1216 회 로또 당첨 번호,로또1216당첨번호,로또 당첨번호,로또 1216 회,로또당첨지역","./explore?q=%EB%A1%9C%EB%98%901216%ED%9A%8C&geo=KR"
"sora","200+","2026년 3월 25일 AM 9시 10분 0초 UTC+9",,"sora","./explore?q=sora&geo=KR"
"강원기","2천+","2026년 3월 24일 PM 5시 20분 0초 UTC+9","2026년 3월 26일 AM 7시 20분 0초 UTC+9","강원기,강원기 퇴사","./explore?q=%EA%B0%95%EC%9B%90%EA%B8%B0&geo=KR"
"날씨","10만+","2026년 3월 25일 AM 7시 0분 0초 UTC+9","2026년 3월 25일 AM 8시 0분 0초 UTC+9","날씨,미세먼지,대구날씨,오늘 미세먼지,제주도 날씨,서울날씨","./explore?q=%EB%82%A0%EC%94%A8&geo=KR"
"바이에른 대 우니온 베를린","2만+","2026년 3월 21일 PM 10시 30분 0초 UTC+9","2026년 3월 23일 AM 8시 0분 0초 UTC+9","바이에른 대 우니온 베를린,정우영,김민재,케인","./explore?q=%EB%B0%94%EC%9D%B4%EC%97%90%EB%A5%B8%20%EB%8C%80%20%EC%9A%B0%EB%8B%88%EC%98%A8%20%EB%B2%A0%EB%A5%BC%EB%A6%B0&geo=KR"
"신현송","5천+","2026년 3월 22일 PM 3시 40분 0초 UTC+9","2026년 3월 25일 PM 10시 20분 0초 UTC+9","신현송,이창용,한국","./explore?q=%EC%8B%A0%ED%98%84%EC%86%A1&geo=KR"
"나나","1만+","2026년 3월 21일 PM 11시 20분 0초 UTC+9","2026년 3월 26일 AM 3시 50분 0초 UTC+9","나나","./explore?q=%EB%82%98%EB%82%98&geo=KR"
