rank,hashtag,hashtag_id,posts,video_views,rank_diff,rank_diff_type,is_promoted,trend_7d
1,sparemomentslive,7576151729817944071,74483,32911548,0,2,False,"[{""time"": 1773878400, ""value"": 0.02}, {""time"": 1773964800, ""value"": 0.02}, {""time"": 1774051200, ""value"": 0.02}, {""time"": 1774137600, ""value"": 0.03}, {""time"": 1774224000, ""value"": 0.03}, {""time"": 1774310400, ""value"": 0.03}, {""time"": 1774396800, ""value"": 1}]"
2,liveaccess,1663743365651462,56380,56344078,0,2,False,"[{""time"": 1773878400, ""value"": 0.05}, {""time"": 1773964800, ""value"": 0.05}, {""time"": 1774051200, ""value"": 0.05}, {""time"": 1774137600, ""value"": 0.05}, {""time"": 1774224000, ""value"": 0.05}, {""time"": 1774310400, ""value"": 0.05}, {""time"": 1774396800, ""value"": 1}]"
3,hannahmontana,989,19796,239216937,2,1,False,"[{""time"": 1773878400, ""value"": 0.5}, {""time"": 1773964800, ""value"": 0.54}, {""time"": 1774051200, ""value"": 0.58}, {""time"": 1774137600, ""value"": 0.59}, {""time"": 1774224000, ""value"": 0.63}, {""time"": 1774310400, ""value"": 0.68}, {""time"": 1774396800, ""value"": 1}]"
4,strangerstofriends,1619013443270661,32004,12870529,1,3,False,"[{""time"": 1773878400, ""value"": 0.01}, {""time"": 1773964800, ""value"": 0.01}, {""time"": 1774051200, ""value"": 0.01}, {""time"": 1774137600, ""value"": 0.01}, {""time"": 1774224000, ""value"": 0.01}, {""time"": 1774310400, ""value"": 0.01}, {""time"": 1774396800, ""value"": 1}]"
5,mileycyrus,609,8417,169547013,0,4,False,"[{""time"": 1773878400, ""value"": 0.6}, {""time"": 1773964800, ""value"": 0.66}, {""time"": 1774051200, ""value"": 0.67}, {""time"": 1774137600, ""value"": 0.65}, {""time"": 1774224000, ""value"": 0.68}, {""time"": 1774310400, ""value"": 0.7}, {""time"": 1774396800, ""value"": 1}]"
6,salah,2562798,11277,102389924,0,4,False,"[{""time"": 1773878400, ""value"": 0.49}, {""time"": 1773964800, ""value"": 0.88}, {""time"": 1774051200, ""value"": 1}, {""time"": 1774137600, ""value"": 0.98}, {""time"": 1774224000, ""value"": 0.64}, {""time"": 1774310400, ""value"": 0.55}, {""time"": 1774396800, ""value"": 0.51}]"
7,трикота,66366966,10021,73148203,3,1,False,"[{""time"": 1773878400, ""value"": 0.12}, {""time"": 1773964800, ""value"": 0.23}, {""time"": 1774051200, ""value"": 0.3}, {""time"": 1774137600, ""value"": 0.35}, {""time"": 1774224000, ""value"": 0.67}, {""time"": 1774310400, ""value"": 0.9}, {""time"": 1774396800, ""value"": 1}]"
8,disneychannel,86454,6007,177388467,0,4,False,"[{""time"": 1773878400, ""value"": 0.69}, {""time"": 1773964800, ""value"": 0.71}, {""time"": 1774051200, ""value"": 0.7}, {""time"": 1774137600, ""value"": 0.69}, {""time"": 1774224000, ""value"": 0.73}, {""time"": 1774310400, ""value"": 0.76}, {""time"": 1774396800, ""value"": 1}]"
9,mosalah,1595219986011141,1564,22276936,0,4,False,"[{""time"": 1773878400, ""value"": 0.32}, {""time"": 1773964800, ""value"": 0.82}, {""time"": 1774051200, ""value"": 1}, {""time"": 1774137600, ""value"": 0.57}, {""time"": 1774224000, ""value"": 0.46}, {""time"": 1774310400, ""value"": 0.4}, {""time"": 1774396800, ""value"": 0.38}]"
10,happyathome,609365,39110,21564684,0,4,False,"[{""time"": 1773878400, ""value"": 0.88}, {""time"": 1773964800, ""value"": 0.87}, {""time"": 1774051200, ""value"": 0.69}, {""time"": 1774137600, ""value"": 0.22}, {""time"": 1774224000, ""value"": 0.65}, {""time"": 1774310400, ""value"": 0.26}, {""time"": 1774396800, ""value"": 1}]"
11,moana,909906,6497,137046446,0,4,False,"[{""time"": 1773878400, ""value"": 0.47}, {""time"": 1773964800, ""value"": 0.45}, {""time"": 1774051200, ""value"": 0.46}, {""time"": 1774137600, ""value"": 0.45}, {""time"": 1774224000, ""value"": 0.52}, {""time"": 1774310400, ""value"": 0.58}, {""time"": 1774396800, ""value"": 1}]"
